2024-02-27,07:50:25,"""CNR5349165""",Completed,"""CID6746579""",eBike,Rajiv Nagar,Narsinghpur,9.6,30.7,null,null,null,null,null,null,144,15.13,4.3,4.9,Uber Wallet
2024-09-11,18:12:46,"""CNR9007003""",Completed,"""CID2277214""",Bike,Central Secretariat,Lal Quila,9.7,16.3,null,null,null,null,null,null,728,29.19,4.4,4.9,UPI
2024-11-17,11:20:35,"""CNR8152868""",Incomplete,"""CID6410432""",Auto,Vidhan Sabha,Subhash Nagar,3.3,10.4,null,null,null,null,1,Vehicle Breakdown,256,16.2,null,null,UPI
2024-07-09,14:57:25,"""CNR9520599""",Cancelled by Driver,"""CID2209372""",Auto,Chanakyapuri,Barakhamba Road,4.8,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null,null
2024-02-22,12:28:59,"""CNR7459970""",Cancelled by Customer,"""CID5115649""",Go Mini,Aya Nagar,Gurgaon Railway Station,6.9,null,1,Change of plans,null,null,null,null,null,null,null,null,null
2024-11-15,16:45:56,"""CNR8243630""",Cancelled by Customer,"""CID2481917""",eBike,Vishwavidyalaya,Sarai Kale Khan,9.5,null,1,Change of plans,null,null,null,null,null,null,null,null,null
2024-09-18,10:30:46,"""CNR9826756""",Cancelled by Driver,"""CID9156950""",Premier Sedan,Noida Film City,Kalkaji,10.7,null,null,null,1,More than permitted people in there,null,null,null,null,null,null,null
2024-04-26,21:06:30,"""CNR7801250""",Completed,"""CID9723157""",Auto,Mandi House,Rohini East,11.5,24.0,null,null,null,null,null,null,496,44.56,4.8,4.8,Cash
2024-11-24,13:38:44,"""CNR3583833""",No Driver Found,"""CID7921192""",Auto,Palam Vihar,Old Gurgaon,null,null,null,null,null,null,null,null,null,null,null,null,null
2024-04-25,10:50:05,"""CNR8697942""",Incomplete,"""CID7208722""",Go Mini,Ashram,Malviya Nagar,9.6,12.3,null,null,null,null,1,Other Issue,145,1.69,null,null,UPI
2024-10-29,10:04:35,"""CNR2978125""",Incomplete,"""CID4022462""",Uber XL,Okhla,Malviya Nagar,2.4,25.9,null,null,null,null,1,Vehicle Breakdown,484,10.08,null,null,UPI
2024-11-19,17:14:20,"""CNR2071244""",Completed,"""CID7328863""",Premier Sedan,Saidulajab,Chandni Chowk,6.5,35.8,null,null,null,null,null,null,383,9.21,4.6,3.2,UPI
2024-05-05,19:41:39,"""CNR1609566""",Completed,"""CID3556489""",Auto,Green Park,Ramesh Nagar,9.1,33.7,null,null,null,null,null,null,447,3.54,3.2,4.4,UPI
2024-03-14,14:13:31,"""CNR9365963""",No Driver Found,"""CID1681776""",Auto,INA Market,Botanical Garden,null,null,null,null,null,null,null,null,null,null,null,null,null
2024-07-26,21:14:53,"""CNR2119060""",Completed,"""CID3061306""",Bike,Laxmi Nagar,Jasola,11.5,32.8,null,null,null,null,null,null,1086,16.55,4.6,4.6,UPI
2024-06-28,17:26:38,"""CNR4284441""",Completed,"""CID7744671""",Bike,Tagore Garden,Ashram,12.3,35.5,null,null,null,null,null,null,757,39.91,4.1,4.2,UPI
2024-05-04,10:23:34,"""CNR6170051""",Cancelled by Driver,"""CID6325162""",Auto,Hauz Rani,Sultanpur,5.8,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null,null
2024-07-01,17:50:43,"""CNR6784919""",Completed,"""CID4301350""",Go Mini,Hauz Rani,Netaji Subhash Place,7.3,22.5,null,null,null,null,null,null,476,43.19,4.2,4.9,UPI
2024-05-24,14:29:08,"""CNR5855205""",Cancelled by Driver,"""CID8752778""",Go Mini,Shivaji Park,Ashok Vihar,10.4,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024-03-20,16:02:46,"""CNR3328737""",Completed,"""CID7682338""",Bike,IGI Airport,RK Puram,3.7,32.1,null,null,null,null,null,null,539,12.28,4.1,4.1,Uber Wallet
2024-10-23,19:57:05,"""CNR7769590""",Completed,"""CID9355890""",Bike,Faridabad Sector 15,Meerut,11.2,32.9,null,null,null,null,null,null,179,11.91,3.5,4.9,Debit Card
2024-01-20,21:32:27,"""CNR1946114""",Cancelled by Customer,"""CID8335888""",Auto,Adarsh Nagar,Rohini,9.1,null,1,Change of plans,null,null,null,null,null,null,null,null,null
2024-02-07,16:34:25,"""CNR6886043""",Completed,"""CID4977789""",Go Sedan,Dilshad Garden,IIT Delhi,10.6,43.8,null,null,null,null,null,null,290,29.36,4.2,4.6,Cash
2024-10-12,15:28:38,"""CNR5787360""",Completed,"""CID7103686""",Go Mini,Bahadurgarh,Paschim Vihar,4.6,29.9,null,null,null,null,null,null,522,39.1,4.1,4.6,UPI
2024-07-19,20:39:01,"""CNR3487442""",Completed,"""CID3589886""",Go Mini,Sarojini Nagar,Sushant Lok,8.7,17.4,null,null,null,null,null,null,111,20.56,4.4,4.8,Cash
2024-05-24,10:20:38,"""CNR3518451""",No Driver Found,"""CID6084467""",Go Mini,Maidan Garhi,Rohini East,null,null,null,null,null,null,null,null,null,null,null,null,null
2024-07-03,20:26:10,"""CNR8141458""",Cancelled by Customer,"""CID2312439""",Go Mini,Subhash Nagar,Nehru Place,18.1,null,1,Driver is not moving towards pickup location,null,null,null,null,null,null,null,null,null
2024-10-20,05:57:32,"""CNR6092159""",Completed,"""CID2338787""",Premier Sedan,Jor Bagh,Madipur,4.7,19.1,null,null,null,null,null,null,643,27.63,3.9,4.2,UPI
2024-04-16,22:42:13,"""CNR4247363""",No Driver Found,"""CID4478594""",Premier Sedan,Shivaji Park,Kirti Nagar,null,null,null,null,null,null,null,null,null,null,null,null,null
2024-02-24,21:39:40,"""CNR8343487""",Cancelled by Driver,"""CID6306843""",Go Sedan,Moolchand,Ghaziabad,7.0,null,null,null,1,More than permitted people in there,null,null,null,null,null,null,null
2024-01-29,18:35:42,"""CNR7962598""",Incomplete,"""CID1322553""",Auto,Moti Nagar,India Gate,4.2,27.8,null,null,null,null,1,Customer Demand,576,14.18,null,null,Cash
2024-05-18,15:08:22,"""CNR9211253""",No Driver Found,"""CID3360797""",Bike,Old Gurgaon,Tagore Garden,null,null,null,null,null,null,null,null,null,null,null,null,null
2024-11-10,16:08:53,"""CNR6496526""",Cancelled by Driver,"""CID2150522""",Premier Sedan,Patel Chowk,Lal Quila,6.9,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024-06-10,09:31:04,"""CNR9030405""",Cancelled by Driver,"""CID9791554""",Bike,Golf Course Road,Keshav Puram,5.1,null,null,null,1,The customer was coughing/sick,null,null,null,null,null,null,null
2024-08-05,11:59:07,"""CNR5927786""",Cancelled by Driver,"""CID5514909""",Auto,New Delhi Railway Station,Ambience Mall,11.8,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024-04-23,11:14:22,"""CNR8384760""",Completed,"""CID9382717""",eBike,India Gate,Peeragarhi,12.9,15.0,null,null,null,null,null,null,206,14.46,4.1,4.9,Credit Card
2024-06-19,20:31:38,"""CNR9117910""",Cancelled by Customer,"""CID9989427""",Premier Sedan,Lajpat Nagar,Jahangirpuri,16.2,null,1,Wrong Address,null,null,null,null,null,null,null,null,null
2024-11-09,18:40:39,"""CNR3140238""",Cancelled by Driver,"""CID5431712""",Premier Sedan,Indraprastha,Rajouri Garden,8.2,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null,null
2024-03-25,08:23:06,"""CNR6668818""",Completed,"""CID7828916""",Go Mini,Meerut,Anand Vihar ISBT,13.8,35.1,null,null,null,null,null,null,645,28.97,3.7,4.9,Cash
2024-04-11,08:47:54,"""CNR6081966""",Completed,"""CID4474990""",Go Mini,Ardee City,IGI Airport,11.0,35.7,null,null,null,null,null,null,987,23.27,4.6,4.9,Uber Wallet
2024-01-05,17:12:51,"""CNR7071366""",Completed,"""CID6999142""",Go Mini,Madipur,Narsinghpur,3.6,24.4,null,null,null,null,null,null,963,13.27,4.2,4.6,UPI
2024-10-01,17:36:00,"""CNR8148010""",Completed,"""CID5663546""",Auto,Ardee City,New Colony,10.2,32.1,null,null,null,null,null,null,105,22.18,4.6,4.5,UPI
2024-05-03,22:34:56,"""CNR1034164""",Completed,"""CID5507214""",Go Sedan,ITO,Seelampur,3.0,22.9,null,null,null,null,null,null,146,5.69,4.2,3.2,Uber Wallet
2024-07-16,18:03:51,"""CNR4983545""",Incomplete,"""CID9758555""",Go Sedan,Raj Nagar Extension,Azadpur,4.5,21.9,null,null,null,null,1,Other Issue,145,11.5,null,null,Credit Card
2024-07-24,19:33:56,"""CNR5048320""",Cancelled by Driver,"""CID1406019""",Go Mini,Ramesh Nagar,Jama Masjid,6.6,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024-12-18,15:07:00,"""CNR9157605""",Completed,"""CID4985064""",Bike,Akshardham,Subhash Chowk,2.8,19.3,null,null,null,null,null,null,397,33.42,4.1,4.8,Cash
2024-04-05,23:11:32,"""CNR6179595""",Completed,"""CID5538733""",Auto,Greater Kailash,Nehru Place,4.5,32.9,null,null,null,null,null,null,775,39.52,4.2,4.8,Debit Card
2024-09-13,09:48:34,"""CNR7011098""",Cancelled by Driver,"""CID7984296""",Bike,Karol Bagh,Bahadurgarh,5.3,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null,null
2024-02-22,19:25:47,"""CNR5239818""",Completed,"""CID1331594""",Bike,Jor Bagh,Nehru Place,14.9,35.4,null,null,null,null,null,null,653,20.86,5.0,4.9,Cash
2024-10-10,19:26:22,"""CNR1347269""",Cancelled by Driver,"""CID5109881""",Go Mini,Old Gurgaon,Shastri Nagar,11.0,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024-02-21,18:10:26,"""CNR7647039""",Completed,"""CID7937193""",Bike,Yamuna Bank,Vishwavidyalaya,7.2,41.6,null,null,null,null,null,null,58,6.65,3.1,3.2,Debit Card
2024-05-09,14:18:46,"""CNR8111739""",No Driver Found,"""CID5568569""",Auto,Okhla,Raj Nagar Extension,null,null,null,null,null,null,null,null,null,null,null,null,null
2024-04-10,12:26:28,"""CNR6869423""",Completed,"""CID1459851""",Premier Sedan,Manesar,Hauz Rani,13.3,32.2,null,null,null,null,null,null,159,15.22,4.5,4.9,Cash
2024-01-09,16:30:17,"""CNR3666547""",No Driver Found,"""CID6915430""",Bike,Lok Kalyan Marg,Malviya Nagar,null,null,null,null,null,null,null,null,null,null,null,null,null
2024-02-09,11:37:30,"""CNR9135343""",Completed,"""CID2911759""",Uber XL,Vatika Chowk,Golf Course Road,9.5,22.8,null,null,null,null,null,null,204,5.93,4.7,4.2,UPI
2024-04-15,12:46:37,"""CNR3328114""",Completed,"""CID4297520""",eBike,Sikanderpur,Hauz Rani,7.0,21.4,null,null,null,null,null,null,216,46.35,4.6,4.5,UPI
2024-07-13,14:28:16,"""CNR3203986""",Cancelled by Customer,"""CID9714731""",Bike,Bhikaji Cama Place,Pataudi Chowk,19.9,null,1,Wrong Address,null,null,null,null,null,null,null,null,null
2024-11-16,16:07:51,"""CNR9223521""",Cancelled by Customer,"""CID9213281""",Auto,Central Secretariat,Ghitorni,16.9,null,1,Driver is not moving towards pickup location,null,null,null,null,null,null,null,null,null
2024-08-31,17:48:06,"""CNR7611212""",Completed,"""CID2878440""",Go Mini,Panipat,Udyog Vihar Phase 4,2.3,25.7,null,null,null,null,null,null,1538,32.06,4.5,4.8,Debit Card
2024-02-20,16:49:33,"""CNR1667138""",Cancelled by Customer,"""CID1232845""",eBike,Laxmi Nagar,Mayur Vihar,16.2,null,1,Change of plans,null,null,null,null,null,null,null,null,null
2024-07-04,18:07:47,"""CNR2660412""",Completed,"""CID8268599""",Premier Sedan,Tilak Nagar,Saket,6.8,34.8,null,null,null,null,null,null,438,29.73,3.6,4.3,UPI
2024-11-28,17:29:18,"""CNR9684649""",Completed,"""CID3320486""",Go Sedan,Subhash Nagar,Samaypur Badli,14.4,34.6,null,null,null,null,null,null,387,40.77,3.7,4.3,Credit Card
2024-08-20,07:21:02,"""CNR1642659""",Cancelled by Driver,"""CID3381231""",Go Mini,Moolchand,Jhilmil,3.9,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024-05-02,18:08:25,"""CNR1701341""",Completed,"""CID8317375""",Auto,Pragati Maidan,Nirman Vihar,10.9,44.6,null,null,null,null,null,null,559,13.1,4.2,3.5,Cash
2024-11-14,07:00:32,"""CNR2086300""",Completed,"""CID7506432""",Premier Sedan,GTB Nagar,Mundka,8.5,38.2,null,null,null,null,null,null,302,16.41,3.1,4.3,Cash
2024-03-22,14:30:21,"""CNR5385381""",Cancelled by Driver,"""CID8701226""",Auto,Sarojini Nagar,Noida Sector 62,4.2,null,null,null,1,The customer was coughing/sick,null,null,null,null,null,null,null
2024-09-14,18:41:08,"""CNR2122616""",Completed,"""CID8317784""",Go Sedan,Nehru Place,Noida Sector 62,14.2,34.8,null,null,null,null,null,null,606,46.81,4.4,4.5,Cash
2024-05-17,10:30:14,"""CNR5525662""",No Driver Found,"""CID7298060""",Auto,Hero Honda Chowk,Old Gurgaon,null,null,null,null,null,null,null,null,null,null,null,null,null
2024-06-15,09:10:23,"""CNR2162432""",Cancelled by Driver,"""CID7216709""",eBike,Connaught Place,Cyber Hub,6.6,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024-03-25,05:07:15,"""CNR2934263""",Completed,"""CID3123182""",Premier Sedan,Saket,Kashmere Gate ISBT,15.0,32.2,null,null,null,null,null,null,192,29.47,4.3,4.8,Cash
2024-03-27,14:49:14,"""CNR7231838""",No Driver Found,"""CID7901603""",Bike,Lal Quila,Hauz Khas,null,null,null,null,null,null,null,null,null,null,null,null,null
2024-01-05,11:17:39,"""CNR2313893""",Completed,"""CID7026102""",Go Sedan,Jasola,Lok Kalyan Marg,14.1,17.0,null,null,null,null,null,null,983,18.31,4.8,4.7,Cash
2024-07-05,05:34:01,"""CNR3100539""",Completed,"""CID3978423""",Go Sedan,Vishwavidyalaya,Gwal Pahari,6.5,16.8,null,null,null,null,null,null,934,36.29,4.1,4.2,Uber Wallet
2024-04-07,08:16:28,"""CNR5910887""",Cancelled by Driver,"""CID8468405""",Go Mini,Punjabi Bagh,Bhikaji Cama Place,7.6,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024-08-25,19:36:24,"""CNR8357223""",Completed,"""CID3640051""",Premier Sedan,Dilshad Garden,Bhikaji Cama Place,8.5,16.6,null,null,null,null,null,null,146,34.95,4.5,4.6,UPI
2024-12-08,10:13:37,"""CNR5672992""",Cancelled by Driver,"""CID7001062""",Bike,Pitampura,Khandsa,11.4,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024-11-23,09:03:30,"""CNR1640188""",Completed,"""CID3639323""",Go Mini,ITO,Sadar Bazar Gurgaon,9.2,25.3,null,null,null,null,null,null,244,38.18,4.4,4.3,UPI
2024-07-27,20:03:28,"""CNR1390776""",Cancelled by Customer,"""CID3940239""",Premier Sedan,Hauz Khas,Nawada,12.4,null,1,Change of plans,null,null,null,null,null,null,null,null,null
2024-05-11,14:18:58,"""CNR3331946""",Completed,"""CID2970388""",Go Mini,Qutub Minar,Shahdara,14.4,25.9,null,null,null,null,null,null,540,44.32,4.9,4.6,Credit Card
2024-01-21,17:02:07,"""CNR5392101""",Cancelled by Driver,"""CID2909812""",Go Mini,Subhash Nagar,India Gate,5.4,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null,null
2024-05-28,12:18:45,"""CNR3788430""",Completed,"""CID1525160""",Uber XL,Noida Sector 18,Udyog Bhawan,5.8,26.6,null,null,null,null,null,null,110,29.43,4.9,4.1,UPI
2024-08-22,20:10:46,"""CNR9471941""",Completed,"""CID1606707""",Auto,Rohini East,Raj Nagar Extension,11.9,20.5,null,null,null,null,null,null,410,25.25,3.5,4.7,UPI
2024-10-23,19:17:54,"""CNR2323728""",Completed,"""CID5338529""",Bike,Okhla,Sadar Bazar Gurgaon,6.5,36.0,null,null,null,null,null,null,344,33.58,4.3,5.0,Cash
